name,first,last,middle,title,suffix
"Ameir, Kheri Khatib",Kheri,Ameir,Khatib,,
Theophilus Adeleke Akinyele,Theophilus,Akinyele,Adeleke,,
"Odametey, Charles Addo",Charles,Odametey,Addo,,
Valery Twite Nahayo,Valery,Nahayo,Twite,,
"Hidig, Abdirashid Mohamed",Abdirashid,Hidig,Mohamed,,
Mohammed Aliyu Datti,Mohammed,Datti,Aliyu,,
"Diallo, Anthony Mwandu",Anthony,Diallo,Mwandu,,
Mbah Ndam Joseph Njang,Mbah,Njang,Ndam Joseph,,
"Daar, Aden Abdullah Osman",Aden,Daar,Abdullah Osman,,
Cecilia Gyan Amoah,Cecilia,Amoah,Gyan,,
"At-Talhi, Jadallah Azzuz",Jadallah,At-Talhi,Azzuz,,
Muhammad Shamte Hamadi,Muhammad,Hamadi,Shamte,,
"Chuka, Stefano Okaka",Stefano,Chuka,Okaka,,
Adetona Gabriel Balogun,Adetona,Balogun,Gabriel,,
"Salami, Adigun Taofeek",Adigun,Salami,Taofeek,,
Anthony Snoti Laffor,Anthony,Laffor,Snoti,,
"Khalfan, Salim Abdallah",Salim,Khalfan,Abdallah,,
Larbi Ben M'Hidi,Larbi,M'Hidi,Ben,,
"Kayombo, Gaudence Cassian",Gaudence,Kayombo,Cassian,,
Batilda Salha Burian,Batilda,Burian,Salha,,
"Kitole, Haji Mussa",Haji,Kitole,Mussa,,
Zakia Mrisho Mohamed,Zakia,Mohamed,Mrisho,,
"Ali, Amina Said",Amina,Ali,Said,,
Ntare Rutaganzwa Rugamba,Ntare,Rugamba,Rutaganzwa,,
"Odinga, Jaramogi Oginga",Jaramogi,Odinga,Oginga,,
Faysal Ben Ahmed,Faysal,Ahmed,Ben,,
"Obinna, Victor Nsofor",Victor,Obinna,Nsofor,,
Mohammed Bah Abba,Mohammed,Abba,Bah,,
"Goje, Mohammed Danjuma",Mohammed,Goje,Danjuma,,
Barnabas Sibusiso Dlamini,Barnabas,Dlamini,Sibusiso,,
"Hashi, Mohamed Abdi",Mohamed,Hashi,Abdi,,
Botan Ise Alin,Botan,Alin,Ise,,
"Arfi, Said Amour",Said,Arfi,Amour,,
Abdi Hasan Awale Qeybdiid,Abdi,Qeybdiid,Hasan Awale,,
"Mayaki, Ibrahim Hassane",Ibrahim,Mayaki,Hassane,,
Maria Ibeshi Hewa,Maria,Hewa,Ibeshi,,
"Apagya, Philip Kwame",Philip,Apagya,Kwame,,
Zainab Amir Gama,Zainab,Gama,Amir,,
"Animashaun, Mustapha Adamu",Mustapha,Animashaun,Adamu,,
Abdirizak Haji Hussein,Abdirizak,Hussein,Haji,,
"Mabandla, Thandatha Jongilizwe",Thandatha,Mabandla,Jongilizwe,,
Antoinette Nana Djimou,Antoinette,Djimou,Nana,,
"Chipande, Alberto Joaquim",Alberto,Chipande,Joaquim,,
Mohammed Said Bareh,Mohammed,Bareh,Said,,
"Khamis, Salim Hemed",Salim,Khamis,Hemed,,
Anton Wilhelm Amo,Anton,Amo,Wilhelm,,
"Sabodo, Mustafa Jaffer",Mustafa,Sabodo,Jaffer,,
Loyce Biira Bwambale,Loyce,Bwambale,Biira,,
"Alo, E B",E,Alo,B,,
Coster Balakasi,Coster,Balakasi,,,
"Katsonga, Davis",Davis,Katsonga,,,
Ben Dhifallah,Ben,Dhifallah,,,
"Addy, Obo",Obo,Addy,,,
George Borba,George,Borba,,,
"Melki, Mourad",Mourad,Melki,,,
Joaquim Gomes,Joaquim,Gomes,,,
"Kamaphitha, Uzibhebhu",Uzibhebhu,Kamaphitha,,,
Tavio Amorin,Tavio,Amorin,,,
"Sanga, Imani",Imani,Sanga,,,
Shanyurai Majange,Shanyurai,Majange,,,
"Bencherif, Hamza",Hamza,Bencherif,,,
Herbert Chitepo,Herbert,Chitepo,,,
"Ibrahim, Fouad",Fouad,Ibrahim,,,
Gbenga Oluokun,Gbenga,Oluokun,,,
"Salema, Anziza",Anziza,Salema,,,
Efua Sutherland,Efua,Sutherland,,,
"Otieno, Francis",Francis,Otieno,,,
Mohammed Muyei,Mohammed,Muyei,,,
"Uti, Sunday",Sunday,Uti,,,
Samuel Maharero,Samuel,Maharero,,,
"Madagascar, Rasoherina",Rasoherina,Madagascar,,,
Benjamin Kibebe,Benjamin,Kibebe,,,
"Mbangwa, Mpumelelo",Mpumelelo,Mbangwa,,,
Ganiou Soglo,Ganiou,Soglo,,,
"Karg, Morne",Morne,Karg,,,
Bisoye Tejuoso,Bisoye,Tejuoso,,,
"Maduka, John",John,Maduka,,,
Olusegun Obasanjo,Olusegun,Obasanjo,,,
"Cheapoo, Chea",Chea,Cheapoo,,,
Asha-Rose Migiro,Asha-Rose,Migiro,,,
"Girone, Remo",Remo,Girone,,,
Muumin Aadan,Muumin,Aadan,,,
"Bungei, Wilfred",Wilfred,Bungei,,,
Liya Kebede,Liya,Kebede,,,
"Burger, Sarel",Sarel,Burger,,,
Shawn Gericke,Shawn,Gericke,,,
"Yahyaoui, Insaf",Insaf,Yahyaoui,,,
Koranteng Amoako,Koranteng,Amoako,,,
"Ouma, Kassim",Kassim,Ouma,,,
Sara Gizaw,Sara,Gizaw,,,
"Tesfaw, Adamu",Adamu,Tesfaw,,,
Richard Leakey,Richard,Leakey,,,
"Gnonka, Liade",Liade,Gnonka,,,
Ibrahim Idris,Ibrahim,Idris,,,
"Obiku, Michael",Michael,Obiku,,,
Alain Gaspoz,Alain,Gaspoz,,,
"Morello, Tom",Tom,Morello,,,
Tsandzile Ndwandwe,Tsandzile,Ndwandwe,,,
"Nsibambi, Apolo",Apolo,Nsibambi,,,
Kuku Sebsebe,Kuku,Sebsebe,,,
"Wube, Tiruwork",Tiruwork,Wube,,,
Yibeltal Admassu,Yibeltal,Admassu,,,
"Mekuria, Zelalem",Zelalem,Mekuria,,,
Moussa Coulibaly,Moussa,Coulibaly,,,
"Ellison, Chris",Chris,Ellison,,,
Za Dengel,Za,Dengel,,,
"Waruinge, Philip",Philip,Waruinge,,,
Zain Verjee,Zain,Verjee,,,
"Modo, Ben",Ben,Modo,,,
Stanford Derere,Stanford,Derere,,,
"Otieno, Musa",Musa,Otieno,,,
Tatenda Taibu,Tatenda,Taibu,,,
"Mwakwere, Ali",Ali,Mwakwere,,,
Djamel Abdoun,Djamel,Abdoun,,,
"Aggudey, George",George,Aggudey,,,
Souleymane Youla,Souleymane,Youla,,,
"Rabarivony, Franck",Franck,Rabarivony,,,
Marco Airosa,Marco,Airosa,,,
"Boateng, Paul",Paul,Boateng,,,
Yimam Yejju,Yimam,Yejju,,,
"Whitehead, Edgar",Edgar,Whitehead,,,
Tom Nyariki,Tom,Nyariki,,,
"Codjia, Coffi",Coffi,Codjia,,,
Jadavji Jesani,Jadavji,Jesani,,,
"Akuda, Fanizani",Fanizani,Akuda,,,
Vida Nsiah,Vida,Nsiah,,,
"Kabadi, Haroun",Haroun,Kabadi,,,
Samson Godwin,Samson,Godwin,,,
"Black, Byron",Byron,Black,,,
Ezra Sambu,Ezra,Sambu,,,
"Benikhlef, Amar",Amar,Benikhlef,,,
Caroline Chikezie,Caroline,Chikezie,,,
"Gripper, Trevor",Trevor,Gripper,,,
Rudy Haddad,Rudy,Haddad,,,
"Dibaba, Ejegayehu",Ejegayehu,Dibaba,,,
Maurice Tadajeu,Maurice,Tadajeu,,,
"Lwanga, Carl",Carl,Lwanga,,,
Hidipo Hamutenya,Hidipo,Hamutenya,,,
"Moumban, Karim",Karim,Moumban,,,
Habib Galhia,Habib,Galhia,,,
"Munyaneza, Henri",Henri,Munyaneza,,,
Mbulaeni Mulaudzi,Mbulaeni,Mulaudzi,,,
"Aga, Alemu",Alemu,Aga,,,
Choice Aisien,Choice,Aisien,,,
"Moses, Victor",Victor,Moses,,,
Fro Adu,Fro,Adu,,,
"Raho, Slimane",Slimane,Raho,,,
Richard Mateelong,Richard,Mateelong,,,
"Baidoo, Stephen",Stephen,Baidoo,,,
Gloria Kemasuode,Gloria,Kemasuode,,,
"Diori, Hamani",Hamani,Diori,,,
Yemane Baria,Yemane,Baria,,,
"Plaatjies, Sydney",Sydney,Plaatjies,,,
Tekle Haymanot,Tekle,Haymanot,,,
"Asokuh, Eloka",Eloka,Asokuh,,,
Hakainde Hichilema,Hakainde,Hichilema,,,
"Makinwa, Stephen",Stephen,Makinwa,,,
Marguerite Barankitse,Marguerite,Barankitse,,,
"Abdirahman, Abdihakem",Abdihakem,Abdirahman,,,
Adewale Olukoju,Adewale,Olukoju,,,
"Mbom, Ephrem",Ephrem,Mbom,,,
Ali Shah,Ali,Shah,,,
"Duarte, Bela",Bela,Duarte,,,
Abdalla Jabir,Abdalla,Jabir,,,
"Belaid, Tijani",Tijani,Belaid,,,
Tessema Absher,Tessema,Absher,,,
"Selassie, Wolde",Wolde,Selassie,,,
Amha Selassie,Amha,Selassie,,,
"Djoussouf, Abbas",Abbas,Djoussouf,,,
Tsehaiwork Darge,Tsehaiwork,Darge,,,
"Keshi, Stephen",Stephen,Keshi,,,
Michael Ibru,Michael,Ibru,,,
"Metref, Hocine",Hocine,Metref,,,
Edmund Morris,Edmund,Morris,,,
"Olympio, Sylvanus",Sylvanus,Olympio,,,
Ibrahim Babangida,Ibrahim,Babangida,,,
"Diamoutene, Souleymane",Souleymane,Diamoutene,,,
Aberra Molla,Aberra,Molla,,,
"Ugbusien, Moses",Moses,Ugbusien,,,
Sone Aluko,Sone,Aluko,,,
"Ha-Dani, Eldad",Eldad,Ha-Dani,,,
Moses Ashikodi,Moses,Ashikodi,,,
"Martins, Obafemi",Obafemi,Martins,,,
Ronald Snapper,Ronald,Snapper,,,
"Kiptanui, Moses",Moses,Kiptanui,,,
Taytu Betul,Taytu,Betul,,,
"Oyinlola, Olagunsoye",Olagunsoye,Oyinlola,,,
Yobes Ondieki,Yobes,Ondieki,,,
"Uti, Sunday",Sunday,Uti,,,
Thomas Nimely,Thomas,Nimely,,,
"Afro, Teddy",Teddy,Afro,,,
Sammy Korir,Sammy,Korir,,,
"Wek, Alek",Alek,Wek,,,
Kenyan British,Kenyan,British,,,
"Metefara, Marcel",Marcel,Metefara,,,
Gerrie Snyman,Gerrie,Snyman,,,
"Ekpe, Simeon",Simeon,Ekpe,,,
Okoth Origi,Okoth,Origi,,,
"Bizu, Sifrash",Sifrash,Bizu,,,
Tito Chingunji,Tito,Chingunji,,,
"Lacarne, Belaid",Belaid,Lacarne,,,
Achilla Orru,Achilla,Orru,,,
"Owu, George",George,Owu,,,
Akintola Deko,Akintola,Deko,,,
"Kitamirike, Joel",Joel,Kitamirike,,,
Salma Kikwete,Salma,Kikwete,,,
"Nwosu, Julius",Julius,Nwosu,,,
Alaixys Romao,Alaixys,Romao,,,
"Yahia, Alaeddine",Alaeddine,Yahia,,,
Osei Kofi Tutu I,Osei,Tutu,Kofi,,I
Mikel John OBI,Mikel,John,,,OBI
Nana Osei Bonsu II,Nana,Bonsu,Osei,,II
Mass Sarr Jr,Mass,Sarr,,,Jr
William Drew Robeson I,William,Robeson,Drew,,I
Habib Bourguiba Jr.,Habib,Bourguiba,,,Jr.
Mari Djata II,Mari,Djata,,,II
